original,canonicalName,Abbrev,scientificName
Termitomyces microcarpus,Termitomyces microcarpus,Ter mic,"Termitomyces microcarpus (Berk. & Broome) R. Heim, 1942"
Termitomyces schimperi,Termitomyces schimperi,Ter sch,"Termitomyces schimperi (Pat.) R. Heim, 1942"
Termitomyces songolarum,Termitomyces songolarum,Ter son,Termitomyces songolarum (Courtec.) Furneaux 2020
Termitomyces striatus,Termitomyces striatus,Ter str,Termitomyces striatus (Beeli) R. Heim 1942
Trametes cingulata,Trametes cingulata,Tra cin,Trametes cingulata Berk. 1854
Tylopilus sp.,Tylopilus sp.,Tyl sp,Tylopilus P. Karst.
Volvariella earleyi,Volvopluteus earlei,Vop ear,"Volvopluteus earlei (Murrill) Vizzini, Contu & Justo 2011"
Volvariella volvacea,Volvariella volvacea,Vol vol,Volvariella volvacea (Bull.) Singer 1951
Xerocomus sp.,Xerocomus sp.,Xer sp,Xerocomus Quél.
Xylaria sp.,Xylaria sp.,Xyl sp,Xylaria Hill ex Schrank 1789
