canonicalName,scientificName,Abbrev,Vernacular.name,Language,Meaning.of.the.name,n,star
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,takountare,Gando,The hard mushroom,7,
Leucocoprinus cepistipes,Leucocoprinus cepistipes (Sowerby) Pat. 1889,Leu cep,takountare,Gando,Hard mushroom,1,
Megacollybia sp.,Megacollybia Kotl. & Pouzar 1972,Meg sp,takountare,Gando,Hard mushroom,1,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,takountare,Gando,Hard mushroom,1,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,takountare,Gando,The hard mushroom,3,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,takountare,Peuhl,Hard mushroom,1,
Lentinus tuber-regium,"Lentinus tuber-regium (Fr.) Fr., 1836",Len tub,takountare,Peuhl,hard mushroom,1,
Termitomyces clypeatus,"Termitomyces clypeatus R. Heim, 1951",Ter cly,tchiero gouna,Yom,"Mushroom of ""frissage""",1,
Lactifluus sp.,Lactifluus (Pers.) Roussel 1806,Lfl sp.,tchlin,Lokpa,Milk mushroom,0,*
Mycoamaranthus sp.,"Mycoamaranthus M.A. Castellano, J.M. Trappe & N. Malajczuk, 1992",Myc sp,tchoumoho,Yom,insect,1,
Amanita loosii,"Amanita loosii Beeli, 1936",Ama loo,tem,Lokpa,Mushroom of the tree (Pterocarpus),0,*
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,tem kaikpaisi,Lokpa,n/a,1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,temkepeka,Lokpa,Mushroom of the dead tree,1,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,tep kep pesse,Yom,Earing mushroom,0,*
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,tile kaipkpaisi,Lokpa,Termite mushrooms,2,
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,tilee,Lokpa,Termite mound,2,
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,tilée kaikpaisi,Lokpa,Termite mushrooms,1,
Gyroporus sp.,Gyroporus Quél.,Gyr sp,tipiru,Bariba,Hemorroides,0,*
Xerocomus sp.,Xerocomus Quél.,Xer sp,tipiru,Bariba,Hemorroides,0,*
"Amanita ""virido-odorata""",Amanita virido-odorata nom. prov.,Ama vir,tle,Lokpa,Termite,0,*
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,tle,Lokpa,Termite mound,6,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,tle,Lokpa,Termite mound,3,
Afroboletus luteolus,"Afroboletus luteolus (Heinem.) Pegler & T.W.K. Young, 1981",Afr lut,tokona,Bariba,Foot of the ayron (bird),1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,tolo tolo yala,Lokpa,eggs of the turkey,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,tombwembinou,Bariba,Red mushroom,1,
Cantharellus platyphyllus,"Cantharellus platyphyllus Heinem., 1966",Can pla,topopamosa,Yom,earings,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,topopamosa,Yom,earings,1,
Cantharellus addaiensis,"Cantharellus addaiensis Henn., 1898",Can add,topopas,Yom,earings,1,
Cantharellus platyphyllus,"Cantharellus platyphyllus Heinem., 1966",Can pla,topopas,Yom,earings,1,
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,topopas,Yom,earings,4,
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,topopas / tokpokpaz,Yom,Mushrooom shaped like a hat,2,
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,topopaz,Yom,Earings,0,*
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,toufa gouna,Yom,Termite mushroom,1,
Russula cf. ochracea,"Russula ochracea Fr., 1815",Rus och,tougo,Lokpa,Mushroom of the tree,1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,touro kouradji,Gando,One person can't eat it.,4,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,tourokourondi,Gando,one can't eat,0,**
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,tourokourondi / dissigomi,Bariba,to be shared with everyone,0,*
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,tourougouma,Yom,Termite mushroom,1,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,vaviloi,Yom,Tail + bucket,1,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,vaviri,Yom,Tail,2,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,vaviri,Yom,tail of the dog,0,*
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,vaviri,Yom,Tail,5,
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,vaviri,Yom,tail of the dog,0,*
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,vaviri,Yom,The tail,3,
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,vaviri,Yom,The tail of the dog,1,
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,vaviri peri,Yom,The white tail,1,
Gyroporus sp.,Gyroporus Quél.,Gyr sp,vaviri tohi,Yom,tail of the dog bidon,0,*
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,vaviri tohi,Yom,tail of the dog bidon,0,*
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,vaviri turi,Yom,Tail + bucket,1,
Amanita afrospinosa,Amanita afrospinosa Pegler & Shah-Smith 1997,Ama afr,woyerou,Bariba,"The flies ""l'aclamment""",0,*
Amanita “leucogala”,Amanita leucogala nom. prov.,Ama leu,woyerou,Bariba,"The flies ""l'aclamment""",0,*
Amanita “leucogala”,Amanita leucogala nom. prov.,Ama leu,yeberokou norou,Bariba,the geiser of the scavenger bird,0,*
Macrocybe lobayensis,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998",Mac lob,yeberokounouyao,Bariba,the breast of the scavenger bird,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,yeye gomi,Bariba,Given name,1,
Macrocybe lobayensis,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998",Mac lob,yoberekou norou,Bariba,the geisers of the scavenger bird,1,
Macrocybe lobayensis,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998",Mac lob,yoberekou youro,Bariba,Big size,1,
