canonicalName,scientificName,Abbrev,Vernacular.name,Language,Meaning.of.the.name,n,star
Ganoderma enigmaticum,"Ganoderma enigmaticum M.P.A. Coetzee, Marinc. & M.J. Wingf. 2015",Gan eni,dagoma,Bariba,Mushroom of the wood,0,*
Gyroporus sp.,Gyroporus Quél.,Gyr sp,dagoma,Bariba,Mushroom of the wood,0,*
Pulveroboletus sokponianus,"Pulveroboletus sokponianus Badou, De Kesel, Raspé & Yorou 2018",Pul sok,dairou goma,Bariba,name of the tree Wapaka,0,*
Lentinus tuber-regium,"Lentinus tuber-regium (Fr.) Fr., 1836",Len tub,dein,Bariba,Given name,1,
Lentinus tuber-regium,"Lentinus tuber-regium (Fr.) Fr., 1836",Len tub,dein,Bariba,Hard mushroom,1,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,dinaledji,Gando,Just a given name,2,
Gymnopilus sp.,Gymnopilus P. Karst.,Gym sp,djakara,Gando,Mushroom of the rouster foot,0,*
Gymnopilus sp.,Gymnopilus P. Karst.,Gym sp,djakara,Gando,Rooster,1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,djape gouna,Yom,Given name,1,
Lactarius saponaceus,"Lactarius saponaceus Verbeken, 1996",Lac sap,djinaledji,Gando,This is just the given name,1,
Russula cf. ochracea,"Russula ochracea Fr., 1815",Rus och,djinaledji,Gando,This is just the given name,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,djo gouna,Yom,mustard water,1,
Mycoamaranthus sp.,"Mycoamaranthus M.A. Castellano, J.M. Trappe & N. Malajczuk, 1992",Myc sp,djoka bamba,Peuhl,Donkey testicles,1,
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,doko,Bariba,Toxique,0,*
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,doko,Bariba,Given name,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,doko,Bariba,Toxic,1,
Amanita “leucogala”,Amanita leucogala nom. prov.,Ama leu,doko,Gando,Toxic,2,
"Amanita ""virido-odorata""",Amanita virido-odorata nom. prov.,Ama vir,doko,Gando,Toxic,2,
Russula cf. ochracea,"Russula ochracea Fr., 1815",Rus och,doko,Gando,Toxic,4,
Russula sp.,Russula Pers.,Rus sp,doko,Gando,Toxic,1,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,doko,Gando,Toxic,1,
